episodio,score,passos,segundos_jogo,bolas_usadas
532,589000,23233,193.61,3
533,229250,13804,115.03,3
534,783000,39718,330.98,3
535,605750,19937,166.14,3
536,589500,26772,223.10,3
537,353750,20043,167.02,3
538,350250,19110,159.25,3
539,355250,23437,195.31,3
540,249250,15477,128.97,3
541,640000,24461,203.84,3
542,525250,19994,166.62,3
543,237750,17248,143.73,3
544,295500,18733,156.11,3
545,472250,19610,163.42,3
546,271750,16952,141.27,3
547,458750,24256,202.13,3
548,267000,14378,119.82,3
549,217750,11817,98.47,3
550,883250,14255,118.79,3
551,426000,17380,144.83,3
552,573000,26690,222.42,3
553,360000,18669,155.57,3
554,419000,16475,137.29,3
555,370250,17974,149.78,3
556,547500,19209,160.07,3
557,251000,10995,91.62,3
558,430000,22733,189.44,3
559,436750,22747,189.56,3
560,163500,12353,102.94,3
561,337500,14800,123.33,3
562,262500,15935,132.79,3
563,533500,26216,218.47,3
564,335000,15206,126.72,3
565,299500,12771,106.42,3
566,255000,12194,101.62,3
567,1046750,29091,242.42,3
568,439000,14852,123.77,3
569,385750,19367,161.39,3
570,448250,18333,152.77,3
571,336500,16934,141.12,3
572,1138750,19976,166.47,3
573,1965000,43321,361.01,3
574,609250,23339,194.49,3
575,862000,30621,255.17,3
576,303250,20562,171.35,3
577,1105750,21989,183.24,3
578,285250,16814,140.12,3
579,166250,11259,93.82,3
580,310250,21104,175.87,3
581,375500,18399,153.32,3
582,527750,24346,202.88,3
583,282000,14704,122.53,3
584,530750,19270,160.58,3
585,899000,17533,146.11,3
586,372750,20894,174.12,3
587,200250,13593,113.27,3
588,384250,20926,174.38,3
589,201000,12265,102.21,3
590,121750,8061,67.18,3
591,344750,24260,202.17,3
592,1121000,34880,290.67,3
593,714500,35047,292.06,3
594,247750,15771,131.43,3
595,504750,23499,195.82,3
596,257000,16668,138.90,3
597,161500,12318,102.65,3
598,327750,16119,134.32,3
599,292750,17733,147.77,3
600,482750,18384,153.20,3
601,1144500,26360,219.67,3
602,123500,9343,77.86,3
603,444750,22651,188.76,3
604,526750,21998,183.32,3
605,131000,8330,69.42,3
606,367750,23482,195.68,3
607,643000,31136,259.47,3
608,1223750,23445,195.38,3
609,565750,17318,144.32,3
610,265750,14020,116.83,3
611,674000,26044,217.03,3
612,539250,22073,183.94,3
613,1984750,43165,359.71,3
614,455750,24867,207.22,3
615,487000,28483,237.36,3
616,422250,18253,152.11,3
617,555750,21422,178.52,3
618,862250,16616,138.47,3
619,591750,22829,190.24,3
620,531750,19257,160.48,3
621,445500,23339,194.49,3
622,465000,26882,224.02,3
623,134500,9191,76.59,3
624,215750,10133,84.44,3
625,363750,19022,158.52,3
626,575500,22766,189.72,3
627,211250,9933,82.78,3
628,911250,33866,282.22,3
629,111250,8705,72.54,3
630,589000,23530,196.08,3
631,250250,15184,126.53,3
632,318250,16859,140.49,3
633,228500,16257,135.48,3
634,565250,22214,185.12,3
635,487500,27025,225.21,3
636,450750,16811,140.09,3
637,209000,12002,100.02,3
638,560250,27657,230.47,3
639,681500,21679,180.66,3
640,279750,15639,130.32,3
641,428250,22163,184.69,3
642,177750,14004,116.70,3
643,369750,18752,156.27,3
644,177750,10335,86.12,3
645,438750,18690,155.75,3
646,602250,25083,209.02,3
647,284500,12343,102.86,3
648,242000,12632,105.27,3
649,401500,19240,160.33,3
650,516750,28658,238.82,3
651,116750,11139,92.82,3
652,195750,14911,124.26,3
653,458500,23029,191.91,3
654,183500,15618,130.15,3
655,257250,17318,144.32,3
656,326000,17379,144.82,3
657,1038000,26063,217.19,3
658,186500,14053,117.11,3
659,1029000,23845,198.71,3
660,590750,26942,224.52,3
661,290750,15821,131.84,3
662,694000,26068,217.23,3
663,1069250,32950,274.58,3
664,138250,9839,81.99,3
665,273250,16672,138.93,3
666,270750,14712,122.60,3
667,300250,16060,133.83,3
668,953250,26675,222.29,3
669,483000,19618,163.48,3
670,284000,16799,139.99,3
671,376500,20502,170.85,3
672,736500,33165,276.38,3
673,1259750,35672,297.27,3
674,1002250,28111,234.26,3
675,342000,21095,175.79,3
676,1028750,21054,175.45,3
677,254500,12664,105.53,3
678,430250,23231,193.59,3
679,316250,18474,153.95,3
680,186000,12519,104.32,3
681,305500,18793,156.61,3
682,299750,19469,162.24,3
683,391250,18144,151.20,3
684,239250,15015,125.12,3
685,842750,14673,122.27,3
686,853500,33629,280.24,3
687,346250,16395,136.62,3
688,548250,21253,177.11,3
689,401500,18744,156.20,3
690,255750,19685,164.04,3
691,243250,12331,102.76,3
692,941250,24783,206.52,3
693,297750,12439,103.66,3
694,639250,27336,227.80,3
695,432250,23547,196.23,3
696,1139750,26237,218.64,3
697,383000,17074,142.28,3
698,258500,12618,105.15,3
699,1155000,32694,272.45,3
700,1971500,46623,388.52,3
701,550500,27078,225.65,3
702,517000,21955,182.96,3
703,871750,34497,287.48,3
704,212000,12047,100.39,3
705,258250,15446,128.72,3
706,555750,19624,163.53,3
707,450750,20851,173.76,3
708,665500,26524,221.03,3
709,289250,18147,151.23,3
710,132000,11266,93.88,3
711,745250,28177,234.81,3
712,337500,15540,129.50,3
713,381500,20138,167.82,3
714,235250,14297,119.14,3
715,645250,25403,211.69,3
716,1579500,49865,415.54,3
717,657500,30710,255.92,3
718,292500,17648,147.07,3
719,805750,33216,276.80,3
720,387750,22985,191.54,3
721,360500,17745,147.88,3
722,344500,19506,162.55,3
723,802250,29977,249.81,3
724,971250,22735,189.46,3
725,234500,13753,114.61,3
726,384250,17811,148.43,3
727,259750,14004,116.70,3
728,906250,18138,151.15,3
729,607500,26785,223.21,3
730,1223500,32690,272.42,3
731,1093000,22468,187.23,3
732,397000,14771,123.09,3
733,520750,19223,160.19,3
734,996750,26192,218.27,3
735,413250,19946,166.22,3
736,641500,23455,195.46,3
737,746250,26290,219.08,3
738,917750,44734,372.78,3
739,296500,18351,152.93,3
740,991000,30607,255.06,3
741,276750,13654,113.78,3
742,456500,20539,171.16,3
743,873250,30937,257.81,3
744,117250,10690,89.08,3
745,450000,18323,152.69,3
746,335500,16971,141.43,3
747,465250,16025,133.54,3
748,920000,15911,132.59,3
749,668250,19359,161.32,3
750,590000,23923,199.36,3
751,121250,8918,74.32,3
752,225250,13842,115.35,3
753,146500,14766,123.05,3
754,457000,18128,151.07,3
755,451750,15688,130.73,3
756,900750,23735,197.79,3
757,401250,17407,145.06,3
758,932500,32032,266.93,3
759,770250,31155,259.62,3
760,593500,19986,166.55,3
761,433750,27586,229.88,3
762,737250,26596,221.63,3
763,932000,21050,175.42,3
764,157750,12212,101.77,3
765,916500,19768,164.73,3
766,268500,16833,140.27,3
767,532500,18573,154.77,3
768,380750,16772,139.77,3
769,323000,15779,131.49,3
770,373250,16685,139.04,3
771,502000,14713,122.61,3
772,169750,10360,86.33,3
773,347250,11512,95.93,3
774,567250,23932,199.43,3
775,161750,12200,101.67,3
776,328250,16100,134.17,3
777,430250,13401,111.67,3
778,1103750,29019,241.82,3
779,638500,20610,171.75,3
780,271000,11475,95.62,3
781,339250,19972,166.43,3
782,472500,24445,203.71,3
783,369000,16601,138.34,3
784,128000,9493,79.11,3
785,1119250,36362,303.02,3
786,958000,32439,270.33,3
787,463250,22390,186.58,3
788,1339250,21163,176.36,3
