episodio,passo,tempo_s,x,y,vx,vy,speed,score,bolas_restantes,luzes,mult,acao_esq,acao_dir,flip_esq,flip_dir,rel_esq_x,rel_esq_y,rel_dir_x,rel_dir_y,tela_x,tela_y
22,27108,685.2,2.4659,11.3316,0.1436,0.0069,0.1438,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,27112,685.3,2.466,11.3311,-0.0067,0.1061,0.1063,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,27116,685.4,2.4619,11.3344,-0.123,0.1963,0.2317,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,27120,685.5,2.4659,11.3316,0.1435,0.0068,0.1437,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,27124,685.6,2.466,11.3311,-0.0069,0.1062,0.1064,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,27128,685.7,2.4619,11.3344,-0.1231,0.1964,0.2317,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,27132,685.8,2.4659,11.3316,0.1437,0.0071,0.1439,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,27136,685.9,2.466,11.3311,-0.0068,0.1062,0.1064,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,27140,686.0,2.4619,11.3344,-0.1233,0.1964,0.2318,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,27144,686.1,2.4659,11.3316,0.1437,0.007,0.1439,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,27148,686.2,2.466,11.3311,-0.0067,0.106,0.1062,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,27152,686.3,2.4619,11.3344,-0.1232,0.1966,0.232,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,27156,686.4,2.4659,11.3316,0.1439,0.0069,0.1441,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
